Packets:,Packets/s:,Packets/s (ave):,Mbps:,Mbps (ave):,Lost,
49547,40856, 40856.0, 1338.7952320000002, 1338.7952320000002, 0, 
89540,37317, 39086.5, 1222.822784, 1280.809008, 0, 
125869,36039, 38070.666666666664, 1180.948016, 1247.5220106666668, 0, 
164309,38116, 38082.0, 1249.015264, 1247.895324, 0, 
203429,38542, 38174.0, 1262.9450319999999, 1250.9052656, 0, 
241782,36646, 37919.333333333336, 1200.837696, 1242.5606706666665, 0, 
280022,37638, 37879.14285714286, 1233.3249839999999, 1241.2412868571425, 0, 
317831,36765, 37739.87500000001, 1204.7197039999999, 1236.6760889999996, 0, 
355790,37021, 37660.00000000001, 1213.131304, 1234.0600017777776, 0, 
394217,36922, 37586.200000000004, 1209.865448, 1231.6405464, 0, 
432370,37010, 37533.818181818184, 1212.746672, 1229.9229214545453, 0, 
472090,37590, 37538.5, 1231.775936, 1230.0773393333334, 0, 
511701,37413, 37528.846153846156, 1225.96728, 1229.7611809230768, 0, 
549660,37288, 37511.64285714286, 1221.877264, 1229.198044, 0, 
590117,37364, 37501.8, 1224.3539680000001, 1228.8751055999999, 0, 
628431,37983, 37531.875, 1244.645976, 1229.8607849999999, 0, 
668030,37238, 37514.58823529412, 1220.24, 1229.2948564705882, 0, 
708433,38574, 37573.444444444445, 1264.0125679999999, 1231.2236182222223, 0, 
748770,39320, 37665.36842105263, 1288.44868, 1234.2354635789472, 0, 
789342,38936, 37728.9, 1275.8703600000001, 1236.3172083999998, 0, 
831270,39466, 37811.619047619046, 1293.232608, 1239.0274655238095, 0, 
872903,40335, 37926.31818181818, 1321.704304, 1242.7855036363635, 0, 
915890,39223, 37982.695652173905, 1285.289872, 1244.6335196521738, 0, 
954680,36526, 37921.99999999999, 1196.9011440000002, 1242.6446706666666, 0, 
994117,38468, 37943.84, 1260.538808, 1243.3604361599998, 0, 
1036801,39011, 37984.88461538461, 1278.3170400000001, 1244.7049209230768, 0, 
1076870,38803, 38015.18518518518, 1271.4971200000002, 1245.6972245925926, 0, 
1116220,38633, 38037.25, 1265.94884, 1246.4204965714287, 0, 
1156162,38265, 38045.10344827586, 1253.893888, 1246.6781997241378, 0, 
1197270,39048, 38078.53333333333, 1279.5559520000002, 1247.7741248, 0, 
1237070,39032, 38109.290322580644, 1279.025864, 1248.7822454193547, 0, 
1277361,38424, 38119.125, 1259.1057520000002, 1249.1048549999998, 0, 
1315860,37735, 38107.48484848485, 1236.5252639999999, 1248.723655272727, 0, 
1358862,39526, 38149.205882352944, 1295.216672, 1250.0910969411761, 0, 
1400260,39157, 38178.0, 1283.1173840000001, 1251.0347051428569, 0, 
1442120,40077, 38230.75, 1313.2599280000002, 1252.7631835555553, 0, 
1483120,38823, 38246.75675675676, 1272.158088, 1253.287370162162, 0, 
1525382,40624, 38309.31578947369, 1331.196648, 1255.3376143157893, 0, 
1567110,38831, 38322.69230769231, 1272.4264480000002, 1255.7757895384616, 0, 
1607711,40275, 38371.50000000001, 1319.747368, 1257.375079, 0, 
1648681,39012, 38387.12195121952, 1278.349696, 1257.8866550243902, 0, 
1691421,39321, 38409.357142857145, 1288.494224, 1258.6154066666668, 0, 
1731340,39522, 38435.232558139534, 1295.082584, 1259.4634805581395, 0, 
1771980,38572, 38438.34090909091, 1263.957304, 1259.565612909091, 0, 
1814070,39676, 38465.84444444445, 1300.111528, 1260.4666332444447, 0, 
1855190,39565, 38489.739130434784, 1296.472672, 1261.2493732173916, 0, 
1898700,40055, 38523.04255319149, 1312.5348000000001, 1262.3405525106384, 0, 
1938460,39252, 38538.229166666664, 1286.2222479999998, 1262.8380878333335, 0, 
1980550,38787, 38543.30612244898, 1270.999816, 1263.004653714286, 0, 
2021230,39503, 38562.5, 1294.4622160000001, 1263.6338049600001, 0, 
