Packets:,Packets/s:,Packets/s (ave):,Mbps:,Mbps (ave):,Lost,
25440,25448, 25448.0, 20.35916, 20.35916, 0, 
65231,34018, 29733.0, 27.214496, 23.786828, 0, 
97548,32071, 30512.333333333332, 25.657008, 24.410221333333332, 0, 
125779,27828, 29841.25, 22.263072, 23.873434, 0, 
160973,34190, 30711.0, 27.352031999999998, 24.5691536, 0, 
198868,37108, 31777.166666666668, 29.687136, 25.422150666666667, 0, 
237738,38149, 32687.428571428572, 30.519784, 26.150384, 0, 
275956,37728, 33317.5, 30.182624, 26.654414, 0, 
314260,37523, 33784.77777777778, 30.018952000000002, 27.028251555555556, 0, 
351997,37056, 34111.9, 29.645224, 27.2899488, 0, 
390651,37926, 34458.63636363637, 30.341103999999998, 27.56732654545455, 0, 
429278,37311, 34696.333333333336, 29.849, 27.757466, 0, 
467096,37213, 34889.92307692308, 29.770624, 27.912324307692305, 0, 
